episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description,type,,One Piece Ep.,IMDB Rating
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.6
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.6
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.6
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            8.8
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.3
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            8.8
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            6.4
                        "
,,,,,,,,,,,,,,"
                            6.7
                        "
,,,,,,,,,,,,,,"
                            6.8
                        "
,,,,,,,,,,,,,,"
                            6.9
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.6
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            6.5
                        "
,,,,,,,,,,,,,,"
                            6.4
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            6.7
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.6
                        "
,,,,,,,,,,,,,,"
                            9.6
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8
                        "
